"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";" ";"1,6/0,8";"1,6/0,8";"TPB1A, TPB2A, TPB3A, TPIAA";"THROUGH-HOLE PAD";"";
"2";"100k";"R-US_R1206";"R1206";"R225, R235";"RESISTOR, American symbol";"";
"8";"100nF";"C-EUC1206";"C1206";"C18, C19, C20, C21, C215, C218, C223, C230";"CAPACITOR, European symbol";"";
"2";"100pF";"C-EUC1206";"C1206";"C206, C207";"CAPACITOR, European symbol";"";
"1";"10k";"R-US_R1206";"R1206";"R237";"RESISTOR, American symbol";"";
"1";"10pF";"C-EUC1206";"C1206";"C210";"CAPACITOR, European symbol";"";
"1";"15k";"R-US_R1206";"R1206";"R233";"RESISTOR, American symbol";"";
"2";"1M";"R-US_R1206";"R1206";"R226, R236";"RESISTOR, American symbol";"";
"1";"1k";"R-US_R1206";"R1206";"R222";"RESISTOR, American symbol";"";
"2";"1nF";"C-EUC1206";"C1206";"C224, C233";"CAPACITOR, European symbol";"";
"2";"1µF";"C-EU050-024X044";"C050-024X044";"C221, C228";"CAPACITOR, European symbol";"";
"1";"20k";"S64Y";"S64Y";"P203";"";"";
"1";"220nF 5%";"C-EUC1206";"C1206";"C235";"CAPACITOR, European symbol";"";
"1";"220nf";"C-EUC1206";"C1206";"C1";"CAPACITOR, European symbol";"";
"8";"2k2";"R-US_R1206";"R1206";"R203, R204, R209, R210, R211, R212, R216, R217";"RESISTOR, American symbol";"";
"1";"33nF 5%";"C-EUC1206";"C1206";"C236";"CAPACITOR, European symbol";"";
"1";"7.5k";"R-US_R1206";"R1206";"R3";"RESISTOR, American symbol";"";
"1";"8.2k";"R-US_R1206";"R1206";"R234";"RESISTOR, American symbol";"";
"3";"AD8021";"AD8021";"SOIC8";"U$2, U$3, U$16";"";"";
"2";"BC547";"BC547";"TO92";"Q206, Q208";"";"";
"2";"BC557";"BC557";"TO92";"Q202, Q204";"";"";
"2";"DIN42802";"DIN42802";"DIN42802";"C1+, C1-";"";"";
"1";"INA217DW";"INA217DW";"DW_RPDSO-G16";"IC2";"Low-Noise, Low-Distortion INSTRUMENTATION AMPLIFIER Replacement for SSM2017";"";
"2";"TSW-101-02-S-D-RA";"TSW-101-02-S-D-RA";"TSW-101-02-S-D-RA";"1+PWR, 1-PWR";"THROUGH-HOLE .025" SQ POST HEADER";"";
